日期,沪深300,中证全指,中证500,300价值,300成长,中证红利,300SNLV,盈利质量,300动量,300能源,300原材料,300工业,300可选消费,300主要消费,300医药卫生,300信息技术,300通信服务,300公用事业,300房地产,300金融,北证50,创业板50,中证A50,上国改革
2005-07-06,846.4675,796.6575,744.23,857.6975000000001,858.7524999999999,829.63,872.2125000000001,933.925,890.945,817.3199999999999,789.15,849.57,805.6475,973.01,843.555,660.3675,815.0074999999999,879.64,801.0525,,,,,
2005-07-13,847.6275,792.89,734.845,858.1575,864.6099999999999,827.8025,868.0925,921.3025,898.245,820.9675,787.2574999999999,837.6525,806.3499999999999,985.26,830.5825,652.9775,825.7825,881.865,795.6824999999999,,,,,
2005-07-20,838.6975,774.0050000000001,705.165,852.22,864.035,813.365,852.2925,889.0425,896.45,805.96,781.2049999999999,833.39,780.7199999999999,958.4749999999999,816.2575,631.39,841.6875,859.6475,779.96,,,,,
2005-07-27,885.2550000000001,816.7425000000001,741.87,894.8349999999999,905.48,856.91,898.49,939.24,936.23,879.5050000000001,814.91,873.0174999999999,812.3675,997.0925,856.4525,680.86,899.9449999999999,908.025,866.64,,,,,
2005-08-03,909.4475000000001,842.4125,769.8975,913.785,929.2774999999999,880.6924999999999,918.2475,980.2250000000001,955.3175,911.415,845.74,895.325,842.5225,1018.0949999999999,872.8725000000001,705.095,898.9,920.0774999999999,900.2625,,,,,
2005-08-10,935.0699999999999,876.495,816.7775,939.97,951.605,909.27,944.44,1035.1225000000002,971.5725,961.03,870.5325,917.4575,875.865,1034.6425,882.4300000000001,761.255,900.6600000000001,938.6524999999999,936.39,,,,,
2005-08-17,945.0225,896.51,842.6199999999999,949.4399999999999,970.01,925.425,964.0550000000001,1065.9325,988.29,980.6999999999999,882.5925,929.325,891.21,1067.2075,893.6225,779.1574999999999,901.55,994.475,928.7675,,,,,
2005-08-24,928.25,880.29,821.7,937.0325,962.6775,915.4200000000001,940.9300000000001,1039.205,979.8025,972.4725000000001,873.9949999999999,910.3100000000001,874.4499999999999,1045.32,883.6324999999999,776.82,875.5625,979.2875,915.8925,,,,,
2005-08-31,920.69,881.9675,834.9225,924.6999999999999,945.265,903.895,939.3225,1060.975,966.2175,951.3125,857.9275,905.3399999999999,871.625,1043.03,880.76,771.9,865.9825000000001,976.675,907.395,,,,,
2005-09-07,943.325,911.3274999999999,873.6125,941.5325,962.07,921.745,962.8399999999999,1099.0149999999999,982.125,966.3100000000001,877.205,932.54,900.7850000000001,1071.1525,907.695,782.4675000000001,876.49,987.3100000000001,981.8050000000001,,,,,
2005-09-14,966.765,938.4575000000001,909.72,962.155,980.6125000000001,946.8000000000001,987.565,1139.8925,999.705,991.385,900.4275,961.665,933.4025,1092.15,947.425,800.4924999999998,884.805,990.8625,996.2625,,,,,
2005-09-21,952.7425,932.325,915.7175,942.345,962.3825,929.635,973.8725,1144.8875,981.74,966.01,887.1775,946.7774999999999,925.9925,1074.1375,927.4799999999999,791.02,864.86,986.5675,968.8050000000001,,,,,
2005-09-28,904.69,879.4525,855.465,894.9875,922.7250000000001,888.4875000000001,929.815,1052.285,946.2175,927.8999999999999,842.955,901.3,869.7225,1028.4,878.7225,717.2950000000001,840.1350000000001,949.4725000000001,917.44,,,,,
2005-10-05,916.5224999999999,892.5425,870.1700000000001,909.2149999999999,936.3075000000001,901.365,941.9575,1069.855,957.8325000000001,950.62,854.8174999999999,913.8299999999999,881.22,1039.8224999999998,882.3425,722.7450000000001,855.5625,956.0825,932.2049999999999,,,,,
2005-10-12,921.8525,899.9399999999999,883.4,914.8175,941.005,904.08,947.2075,1077.0475000000001,965.65,960.1750000000001,861.305,916.75,888.13,1045.6725000000001,880.5,724.7750000000001,854.135,954.905,933.785,,,,,
2005-10-19,901.4275,890.7574999999999,891.3625000000001,891.145,914.5525,877.7075,921.59,1077.3725,941.515,946.3125,850.735,872.6075000000001,879.14,1035.435,864.7,727.7,835.68,909.7900000000001,935.4575,,,,,
2005-10-26,883.74,868.25,864.895,869.9575,894.9875000000001,853.9949999999999,898.3225,1044.6775,925.8225,934.5625,824.205,848.0525,858.29,1020.895,884.96,704.39,832.7825,881.1075000000001,924.8325,,,,,
2005-11-02,878.55,850.2600000000001,832.4725000000001,869.1524999999999,890.9449999999999,843.86,893.8299999999999,1012.8400000000001,928.895,938.0550000000001,808.065,852.3475,836.52,1007.86,858.01,688.895,869.9925,885.945,884.8050000000001,,,,,
2005-11-09,881.095,858.46,847.66,868.3375,887.565,845.3400000000001,893.9300000000001,1033.4225,923.42,950.105,808.7525,846.0575000000001,850.6975,1008.3375,873.4525,699.9475000000001,873.7,882.675,910.9099999999999,,,,,
2005-11-16,857.3074999999999,834.84,820.4150000000001,847.7449999999999,864.44,824.3025,868.6424999999999,998.9325,897.3325,942.76,788.6675,812.5825000000001,818.325,971.8325,840.1825,675.335,875.82,850.5325,902.0900000000001,,,,,
2005-11-23,871.8125,848.47,834.1125,861.895,880.7175,837.6850000000001,878.855,1015.1875,912.185,945.09,805.995,828.0875,834.03,986.9000000000001,845.1474999999999,686.7549999999999,872.465,863.7975,921.4324999999999,,,,,
2005-11-30,871.2975,844.1700000000001,826.8025,861.1925,876.8775,833.095,874.6825,1007.655,912.765,936.7874999999999,802.5600000000001,819.375,832.9449999999999,966.7025000000001,851.9575,682.025,870.445,869.375,920.4250000000001,,,,,
2005-12-07,869.645,833.4675,803.0349999999999,865.84,879.775,835.8050000000001,874.3675000000001,980.99,910.9750000000001,956.945,806.0,810.3,826.44,965.7925,799.31,668.3325,883.355,871.37,889.405,,,,,
2005-12-14,892.5325,856.8375,827.5925,885.5224999999999,900.6975000000001,856.4225,893.0799999999999,1010.895,936.325,987.8725,827.005,831.1025,854.18,979.645,804.4725000000001,688.77,887.9275,885.51,947.2125,,,,,
2005-12-21,905.8075,867.3525,833.6825,902.645,914.57,870.5,910.0025,1021.73,952.8625000000001,1002.4725,838.3225,847.4875,867.835,1006.09,815.0699999999999,690.2325,911.945,888.0,968.3425,,,,,
2005-12-28,919.0175,883.2649999999999,855.3325,919.94,930.1524999999999,889.08,926.265,1040.9675,966.7725,1027.435,854.0325,866.3375,881.4275,1037.23,821.6775,700.1475,910.46,893.415,982.645,,,,,
2006-01-04,933.9574999999999,898.4899999999999,865.76,935.23,957.885,894.25,940.14,1055.8049999999998,994.4175,1068.9175,861.6350000000001,877.02,888.7425000000001,1046.9099999999999,831.6374999999999,721.3924999999999,993.3575000000001,895.6525,1009.75,,,,,
