阶段编号,阶段名称,开始日期,结束日期,市场状态,阶段细分,周数,期初点位,期末点位,区间涨跌幅,年化波动率,最大回撤,区间最高点,区间最低点,阶段事件
1,股改后全面牛市,2005-07-06,2008-01-16,牛市,显著上行,132,796.6575,5411.7725,5.793098037738928,0.28684403026542415,-0.18674677056857036,5411.7725,774.0050000000001,股权分置改革、企业盈利改善、居民资金入市
2,金融危机熊市,2008-01-16,2008-11-05,熊市,显著下行,42,5411.7725,1613.8274999999999,-0.7017931740478743,0.4627395032615532,-0.6710976759874112,5411.7725,1613.8274999999999,政策收紧、海外金融危机冲击、风险偏好急降
3,刺激政策修复,2008-11-05,2009-12-02,牛市,显著上行,56,1613.8274999999999,3823.0899999999997,1.3689582684642567,0.3251025780458125,-0.22338019918757657,3823.0899999999997,1613.8274999999999,逆周期政策发力、基建地产链修复、顺周期资产反弹
4,地产调控震荡期,2009-12-02,2010-11-10,震荡市,高波动震荡,49,3823.0899999999997,4045.8224999999998,0.058259810781331245,0.24478939675658593,-0.2484567567266257,4045.8224999999998,2865.02,地产调控、市场先下后上、风险偏好反复
5,盈利下行熊市,2010-11-10,2012-11-28,熊市,显著下行,107,4045.8224999999998,2348.635,-0.4194913395236691,0.19783779732675494,-0.39262005311844583,4045.8224999999998,2348.635,经济增速放缓、盈利预期下修、风险偏好回落
6,低位修复震荡,2012-11-28,2014-05-21,震荡市,震荡上行,77,2348.635,2744.655,0.1686170903524813,0.1956456997586037,-0.1660897210046821,3044.0475,2348.635,政策托底、流动性边际改善、市场底部反复
7,杠杆资金与成长牛市,2014-05-21,2015-06-10,牛市,显著上行,55,2744.655,7744.6075,1.821705278076844,0.19129125957147344,-0.03997956316260054,7744.6075,2744.655,流动性宽松、互联网产业叙事、杠杆资金入市
8,去杠杆急跌,2015-06-10,2016-01-27,熊市,显著下行,33,7744.6075,4152.78,-0.46378431702316747,0.5499838176088949,-0.451351249586312,7744.6075,4152.78,清理场外配资、市场去杠杆、风险偏好收缩
9,供给侧与核心资产阶段,2016-01-27,2018-01-24,牛市,显著上行,104,4152.78,5124.865,0.23408054363582953,0.13905946569946845,-0.11696759672470869,5124.865,4152.78,供给侧改革、盈利修复、核心资产重估
10,贸易摩擦熊市,2018-01-24,2019-01-02,熊市,显著下行,49,5124.865,3417.6575,-0.3331224334689792,0.19393364361677376,-0.31379711215762995,5124.865,3417.6575,金融去杠杆余波、信用风险、中美贸易摩擦
11,政策修复反弹,2019-01-02,2019-04-10,牛市,显著上行,14,3417.6575,4725.3225,0.3826202596369006,0.2077887426841311,-0.0203020097455493,4725.3225,3417.6575,政策预期改善、外资流入、风险偏好修复
12,疫情前后震荡,2019-04-10,2020-04-01,震荡市,震荡下行,51,4725.3225,4203.1425,-0.11050674319054421,0.19779257479091364,-0.15496747259840882,4725.3225,3992.6625,贸易摩擦反复、疫情冲击、盈利预期下修
13,流动性与产业牛市,2020-04-01,2021-12-15,牛市,显著上行,89,4203.1425,6007.23,0.42922349170888197,0.17521018291064266,-0.09037344373655365,6007.23,4203.1425,经济修复、货币环境宽松、产业政策支持
14,地产压力与红利占优,2021-12-15,2024-09-18,熊市,显著下行,144,6007.23,3676.4725,-0.3879920529095773,0.15904475431482246,-0.3805824236736711,6007.23,3676.4725,地产压力、疫情扰动、低利率下高分红资产重估
15,政策转向修复观察,2024-09-18,2026-06-17,牛市,显著上行,91,3676.4725,6430.8575,0.7491923304199883,0.2188618123345597,-0.1289893419424628,6627.8775,3676.4725,政策转向、风险偏好修复、科技与稳增长并行
