拐点编号,拐点类型,锚点日期,拐点日期,拐点点位
0,起点,2005-07-06,2005-07-06,796.6575
1,局部高点,2007-10-31,2008-01-16,5411.7725
2,局部低点,2008-10-31,2008-11-05,1613.8274999999999
3,局部高点,2010-03-31,2009-12-02,3823.0899999999997
4,局部高点,2010-11-10,2010-11-10,4045.8224999999998
5,局部低点,2012-11-30,2012-11-28,2348.635
6,局部低点,2014-03-31,2014-05-21,2744.655
7,局部高点,2015-06-30,2015-06-10,7744.6075
8,局部低点,2016-02-29,2016-01-27,4152.78
9,局部高点,2018-01-31,2018-01-24,5124.865
10,局部低点,2018-12-31,2019-01-02,3417.6575
11,局部高点,2019-04-30,2019-04-10,4725.3225
12,局部低点,2020-03-31,2020-04-01,4203.1425
13,局部高点,2021-12-31,2021-12-15,6007.23
14,局部低点,2024-08-31,2024-09-18,3676.4725
15,最新观察,2026-06-17,2026-06-17,6430.8575
