环境维度,环境分类,风格因子,周数,风格年化收益,沪深300年化收益,年化超额收益,累计相对超额收益,信息比率,胜率,风格最大回撤,相对最大回撤
市场状态,熊市,价值,375,-0.29543845027376925,-0.3525128463011097,0.0813168427768358,0.8389729996763875,0.8950254300757742,0.56,-0.915878163963481,-0.11682805133867846
市场状态,熊市,成长,375,-0.38046029263805503,-0.3525128463011097,-0.04114848915830407,-0.2725344568415554,-0.6724226010649289,0.4613333333333333,-0.963750810990024,-0.3383216322653424
市场状态,熊市,红利,375,-0.30770940998033924,-0.3525128463011097,0.0719587755838542,0.6201216878552649,0.7016253102100424,0.5466666666666666,-0.9245435833959876,-0.11941282551482102
市场状态,熊市,低波,375,-0.2762043550579767,-0.3525128463011097,0.10208916464336526,1.2332066545494778,1.5400793931340082,0.584,-0.8994775404378351,-0.08284294037731965
市场状态,熊市,质量,375,-0.35292817037435187,-0.3525128463011097,0.023368340323295655,-0.004616563237641702,0.13420148663718845,0.5333333333333333,-0.9552789135778939,-0.3659618761536544
市场状态,熊市,规模,375,-0.3883609901870546,-0.3525128463011097,-0.035775551556651845,-0.33684426396764355,-0.23273344615349453,0.5093333333333333,-0.9696673121402958,-0.4427815659553863
市场状态,熊市,动量,375,-0.3682412597157988,-0.3525128463011097,-0.01653383803216894,-0.1625063750505752,-0.18201124925549444,0.5093333333333333,-0.9620086726198974,-0.2741793213657421
市场状态,牛市,价值,541,0.5549438277247738,0.6205731946452386,-0.04240125560726271,-0.3495560111168887,-0.4680626855935387,0.4584103512014787,-0.25262622154979264,-0.407848642518693
市场状态,牛市,成长,541,0.6903594618424929,0.6205731946452386,0.04617749124445185,0.5505963951899477,0.727346835662082,0.5304990757855823,-0.2515380085139868,-0.1432902883903555
市场状态,牛市,红利,541,0.5892288896336242,0.6205731946452386,-0.01762817583987893,-0.18388286290570155,-0.15221438846795715,0.4953789279112754,-0.2690044792862847,-0.3597698707999474
市场状态,牛市,低波,541,0.5412265167184029,0.6205731946452386,-0.05363265153020919,-0.4068377729975414,-0.6924890579460474,0.43807763401109057,-0.20844529649424492,-0.4332444141227877
市场状态,牛市,质量,541,0.7056485566971649,0.6205731946452386,0.0628538744009045,0.702875216325545,0.3834316681930705,0.5434380776340111,-0.21507415726370527,-0.42942875556583204
市场状态,牛市,规模,541,0.725831793969353,0.6205731946452386,0.07399954442656852,0.9245765243690443,0.5073784086272721,0.5508317929759704,-0.20258964099463028,-0.3757923367324987
市场状态,牛市,动量,541,0.6717391208475927,0.6205731946452386,0.03489430116583647,0.3818166122946276,0.4050317416053045,0.5508317929759704,-0.2507406687036885,-0.1964918847552325
市场状态,震荡市,价值,177,-0.08699250655315771,-0.038344879481721716,-0.05060008155703017,-0.16196864798652477,-0.8013320025003418,0.3954802259887006,-0.3798962216017914,-0.19002091117964037
市场状态,震荡市,成长,177,-0.026733695057225226,-0.038344879481721716,0.014206532227354187,0.041698412570678745,0.32043900924385216,0.536723163841808,-0.3471312391202931,-0.049241272447255846
