日期,阶段编号,阶段名称,市场状态,阶段细分,阶段事件,市场26周收益,市场52周收益,市场26周年化波动率,市场52周最大回撤,波动环境,10年期国债收益率,13周利率变化bp,26周利率变化bp,利率方向,利率水平
2005-07-06,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.536,,,,中利率
2005-07-13,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.2273,,,,中利率
2005-07-20,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.3833,,,,中利率
2005-07-27,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.5569,,,,高利率
2005-08-03,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.2242,,,,中利率
2005-08-10,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.2313,,,,中利率
2005-08-17,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.3434,,,,中利率
2005-08-24,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.3213,,,,中利率
2005-08-31,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.5608,,,,高利率
2005-09-07,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.4427,,,,中利率
2005-09-14,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.3046,,,,中利率
2005-09-21,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.3698,,,,中利率
2005-09-28,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.206,,,,中利率
2005-10-05,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.206,-33.00000000000001,,利率下行,中利率
2005-10-12,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.0104,-21.689999999999987,,利率下行,中利率
2005-10-19,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,2.9127,-47.06000000000002,,利率下行,低利率
2005-10-26,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,2.8096,-74.73,,利率下行,低利率
2005-11-02,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,2.979,-24.52000000000001,,利率下行,中利率
2005-11-09,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.1317,-9.960000000000013,,利率震荡,中利率
2005-11-16,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.5099,16.65000000000001,,利率上行,中利率
2005-11-23,1.0,股改后全面牛市,牛市,显著上行,股权分置改革、企业盈利改善、居民资金入市,,,,,,3.3553,3.4000000000000252,,利率震荡,中利率
